dt,sigma_x,sigma_y,sigma_z,z
0.005,6120.178728693343,6135.3389313947255,10000.00002052997,376
0.01,6062.519352387045,6084.966794937893,10000.00002010663,376
0.09999999999999999,6004.7796857485755,6037.0277634280155,10000.000019820143,376
0.5,4585.345123593109,7169.460591527427,9999.999994210466,376
1.0,5955.542342009801,6126.927828878159,10000.000024363702,376
9.999999999999999e-05,6964.551553023138,6964.843400283108,10000.000030387355,401
0.0005,6713.099342676831,6711.110270309141,10000.000030387346,401
0.001,6570.4120492055235,6569.143661590488,10000.000030387338,401
0.005,6322.243910442462,6314.701366191587,10000.000030387324,401
0.01,6226.850987301447,6308.670432759404,10000.00003038731,401
0.09999999999999999,5395.7753147358235,6930.032505845524,10000.000030387151,401
0.5,6342.902131202804,6150.742793753423,10000.000030387308,401
1.0,5813.886257411826,6558.368314278039,10000.000030386365,401
9.999999999999999e-05,6995.823870186785,6995.530669990057,10000.000023677352,426
0.0005,6807.098591727097,6806.948272382339,10000.000023331699,426
0.001,6689.28796841436,6685.835581729859,10000.000022971548,426
0.005,6444.2918985068245,6516.150313106646,10000.000022265234,426
0.01,6438.016842530914,6434.167401221943,10000.000022126853,426
0.09999999999999999,6269.832764691992,6507.943275707117,10000.00002185165,426
